category,open_delta_pp,open_n,open_p,closed_delta_pp,closed_n,closed_p
1,1.2782694198623301,2034,0.2941818908949218,1.2782694198623301,2034,0.2941818908949218
2,0.87994034302759,6705,0.1831868420275308,0.87994034302759,6705,0.1831868420275308
3,3.8126361655773398,3672,2.5343197901472368e-05,3.8126361655773398,3672,2.5343197901472368e-05
