category,open_delta_pp,open_n,open_p,closed_delta_pp,closed_n,closed_p
object,2.19817963249184,5823,0.0014804117669972,2.19817963249184,5823,0.0014804117669972
action,-0.9718172983479101,3087,0.3320965415184097,-0.9718172983479101,3087,0.3320965415184097
event,3.62753499000285,3501,0.0001126717573266,3.62753499000285,3501,0.0001126717573266
